wage,educ,exper,tenure,nonwhite,female,married,numdep,smsa,northcen,south,west,construc,ndurman,trcommpu,trade,services,profserv,profocc,clerocc,servocc,lwage,expersq,tenursq
3.0999999,11,2,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1.1314021,4,0
3.24,12,22,2,0,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1,1.1755733,484,4
3,11,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0986123,4,0
6,8,44,28,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.7917595,1936,784
5.3000002,12,7,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.6677068,49,4
8.75,16,9,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2.1690538,81,64
11.25,18,15,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2.4203682,225,49
5,12,5,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.6094379,25,9
3.5999999,12,26,4,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1.2809339,676,16
18.18,17,22,21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.9003222,484,441
6.25,16,8,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1.8325815,64,4
8.1300001,13,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2.095561,9,0
8.7700005,12,15,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2.1713369,225,0
5.5,12,18,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.704748,324,9
22.200001,12,31,15,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,3.1000924,961,225
17.33,16,14,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2.8524392,196,0
7.5,12,10,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2.0149031,100,0
10.63,13,16,10,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2.3636801,256,100
3.5999999,12,13,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1.2809339,169,0
4.5,12,36,6,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1.5040774,1296,36
6.8800001,12,11,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1.9286187,121,16
8.4799995,12,29,13,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2.1377103,841,169
6.3299999,16,9,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.8453002,81,81
.52999997,12,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,-.63487834,9,1
6,11,37,8,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1.7917595,1369,64
9.5600004,16,3,3,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,2.2575877,9,9
7.7800002,16,11,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2.0515563,121,100
12.5,16,31,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.5257287,961,0
12.5,15,30,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,2.5257287,900,0
3.25,8,9,1,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1.178655,81,1
13,14,23,5,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,2.5649493,529,25
4.5,14,2,5,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1.5040774,4,25
9.6800003,13,16,16,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.270062,256,256
5,12,7,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.6094379,49,9
4.6799998,12,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1.5432981,9,0
4.27,16,22,4,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1.4516138,484,16
6.1500001,12,15,6,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1.8164521,225,36
3.51,4,39,15,0,0,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,1.2556161,1521,225
3,14,3,3,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1.0986123,9,9
6.25,12,11,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1.8325815,121,0
7.8099999,12,3,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2.0554049,9,0
10,12,20,5,1,1,1,4,1,0,0,1,0,0,0,0,0,1,0,1,0,2.3025851,400,25
4.5,14,16,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1.5040774,256,0
4,11,45,12,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1.3862944,2025,144
6.3800001,13,11,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.8531681,121,16
13.7,15,20,13,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,2.6173959,400,169
1.67,10,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,.51282358,1,0
2.9300001,12,36,2,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1.0750024,1296,4
3.6500001,14,9,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1.2947272,81,4
2.9000001,12,15,1,0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1.0647107,225,1
1.63,12,18,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,.48858002,324,0
8.6000004,16,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.1517622,9,4
5,12,15,5,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1.6094379,225,25
6,12,7,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.7917595,49,49
2.5,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.91629076,4,0
3.25,15,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.178655,9,0
3.4000001,16,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.2237755,1,1
10,8,13,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.3025851,169,0
21.629999,18,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3.0740812,64,64
4.3800001,16,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.4770488,49,0
11.71,13,40,20,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.4604433,1600,400
12.39,14,42,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.5168898,1764,25
6.25,10,36,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.8325815,1296,64
3.71,10,13,0,1,1,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,1.3110319,169,0
7.7800002,14,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.0515563,81,9
19.98,14,26,23,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2.9947317,676,529
6.25,16,7,4,1,1,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1.8325815,49,16
10,12,25,3,0,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,2.3025851,625,9
5.71,16,10,5,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1.742219,100,25
2,12,3,2,0,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,.69314718,9,4
5.71,16,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1.742219,9,0
13.08,17,17,2,1,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,2.5710843,289,4
4.9099998,12,17,8,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5912739,289,64
2.9100001,12,20,34,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1.0681531,400,1156
3.75,12,7,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1.3217559,49,0
11.9,13,24,19,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,2.4765384,576,361
4,12,28,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1.3862944,784,0
3.0999999,12,2,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1.1314021,4,1
8.4499998,12,19,13,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1341665,361,169
7.1399999,18,13,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1.9657128,169,0
4.5,9,22,5,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5040774,484,25
4.6500001,16,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.5368673,9,1
2.9000001,10,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1.0647107,16,0
6.6700001,12,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.8976198,49,25
3.5,12,6,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1.2527629,36,4
3.26,12,13,3,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1.1817272,169,9
3.25,12,14,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1.178655,196,0
8,12,14,4,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2.0794415,196,16
9.8500004,8,40,24,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2.2874715,1600,576
7.5,12,11,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0149031,121,49
5.9099998,12,14,6,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7766458,196,36
11.76,14,40,39,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2.464704,1600,1521
3,12,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1.0986123,1,0
4.8099999,12,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1.5706971,4,0
6.5,12,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.8718022,16,1
4,9,19,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1.3862944,361,1
3.5,13,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1.2527629,1,0
13.16,12,34,22,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.5771818,1156,484
4.25,14,5,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1.446919,25,4
3.5,12,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.2527629,9,0
5.1300001,15,6,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1.6351057,36,36
3.75,12,14,0,0,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,1,1.3217559,196,0
4.5,12,35,12,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1.5040774,1225,144
7.6300001,12,8,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.0320878,64,16
15,14,7,7,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.7080503,49,49
6.8499999,15,11,3,0,1,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1.9242487,121,9
13.33,12,14,11,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,2.5900171,196,121
6.6700001,12,35,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.8976198,1225,100
2.53,12,46,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,.92821932,2116,0
9.8000002,17,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2.2823825,49,0
3.3699999,11,45,12,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.2149127,2025,144
24.98,18,29,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.2180755,841,625
5.4000001,12,6,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.686399,36,9
6.1100001,14,15,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1.8099267,225,0
4.1999998,14,33,16,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.4350845,1089,256
3.75,10,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.3217559,225,0
3.5,14,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1.2527629,25,0
3.6400001,12,7,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1.2919837,49,4
3.8,15,6,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.3350011,36,1
3,8,33,12,0,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0986123,1089,144
5,16,2,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1.6094379,4,1
4.6300001,14,4,0,0,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,1,1.5325569,16,0
3,15,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1.0986123,1,0
3.2,12,29,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1.1631508,841,0
3.9100001,18,17,3,0,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1.3635374,289,9
6.4299998,16,17,3,0,1,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1.8609746,289,9
5.48,10,36,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.7011051,1296,9
1.5,8,31,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.4054651,961,900
2.9000001,10,23,2,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1.0647107,529,4
5,11,13,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.6094379,169,1
8.9200001,18,3,3,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2.1882958,9,9
5,15,15,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1.6094379,225,0
3.52,12,48,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.258461,2304,1
2.9000001,11,6,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0647107,36,0
4.5,12,12,0,0,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,1.5040774,144,0
2.25,12,5,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1,.81093019,25,0
5,14,19,5,0,0,1,4,1,0,1,0,0,0,0,1,0,0,0,0,0,1.6094379,361,25
10,16,9,3,1,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,2.3025851,81,9
3.75,2,39,13,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1.3217559,1521,169
10,14,28,11,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2.3025851,784,121
10.95,16,23,20,0,0,1,4,1,0,1,0,0,1,0,0,0,0,1,0,0,2.3933394,529,400
7.9000001,12,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2.0668628,4,0
4.7199998,12,15,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.5518087,225,1
5.8400002,13,5,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1.7647308,25,0
3.8299999,12,18,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1.3428648,324,4
3.2,15,2,2,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1.1631508,4,4
2,10,3,0,1,1,0,5,1,0,1,0,0,0,0,1,0,0,0,0,1,.69314718,9,0
4.5,12,31,4,0,1,1,3,1,0,1,0,0,0,0,0,0,1,0,1,0,1.5040774,961,16
11.55,16,20,5,0,1,1,3,1,0,1,0,1,0,0,0,0,0,0,1,0,2.4466856,400,25
2.1400001,13,34,15,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,.7608059,1156,225
2.3800001,9,5,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,.86710054,25,0
3.75,12,11,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.3217559,121,0
5.52,13,31,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.7083778,961,9
6.5,12,8,5,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1.8718022,64,25
3.0999999,12,2,2,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1.1314021,4,4
10,14,18,5,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,2.3025851,324,25
6.6300001,16,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1.8916048,9,0
10,16,3,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2.3025851,9,4
2.3099999,9,4,1,0,1,0,5,0,1,0,0,0,0,0,1,0,0,0,0,1,.83724749,16,1
6.8800001,18,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.9286187,16,16
2.8299999,10,1,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,1.0402766,1,0
3.1300001,10,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1.1410331,1,0
8,13,28,5,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,2.0794415,784,25
4.5,12,47,4,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1.5040774,2209,16
8.6499996,18,13,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2.1575594,169,1
2,13,2,6,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,.69314718,4,36
4.75,12,48,2,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1.5581446,2304,4
6.25,13,6,5,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1.8325815,36,25
6,13,8,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,1.7917595,64,0
15.38,13,25,21,0,0,1,2,1,1,0,0,0,0,0,0,0,1,1,0,0,2.733068,625,441
14.58,18,13,7,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2.6796508,169,49
12.5,12,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2.5257287,64,1
5.25,12,19,10,0,1,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,1.658228,361,100
